layer,head,flat_idx,emotion,f1_drop,baseline_f1
10,5,125,amusement,0.004069101630077232,0.8362369337979094
10,5,125,anger,0.0,0.5180722891566265
10,5,125,annoyance,-0.014286987257551897,0.45136186770428016
10,5,125,approval,-0.007256528355892411,0.5678233438485805
10,5,125,caring,0.02457627118644068,0.55
10,5,125,confusion,0.007236544549977353,0.5223880597014925
10,5,125,curiosity,-0.0029548929172501515,0.7046263345195729
10,5,125,desire,-0.008998435054773157,0.6388888888888888
10,5,125,disappointment,0.01661129568106312,0.3023255813953488
10,5,125,disapproval,-0.005389002249777564,0.5072463768115942
10,5,125,disgust,0.018018018018017945,0.5585585585585585
10,5,125,embarrassment,-0.05037037037037034,0.32
10,5,125,excitement,-0.013414634146341475,0.45
10,5,125,fear,0.032115171650055396,0.6511627906976745
10,5,125,gratitude,0.00036523276283983996,0.9326145552560647
10,5,125,joy,0.004089979550102263,0.6666666666666666
10,5,125,love,0.013937282229965153,0.8083623693379791
10,5,125,optimism,0.0031818181818182856,0.56
10,5,125,realization,0.026455026455026454,0.2857142857142857
10,5,125,remorse,0.0,0.6470588235294118
10,5,125,sadness,0.0,0.583941605839416
10,5,125,surprise,0.021810250817884347,0.5714285714285714
10,6,126,admiration,-0.0014355869205239236,0.7476280834914611
10,6,126,amusement,-0.00179123521617508,0.8362369337979094
10,6,126,anger,0.0031022292763870363,0.5180722891566265
10,6,126,annoyance,-0.001763132295719838,0.45136186770428016
10,6,126,approval,-0.00538537889285251,0.5678233438485805
10,6,126,caring,-0.0017241379310344307,0.55
10,6,126,confusion,-0.010945273631840835,0.5223880597014925
10,6,126,curiosity,0.011769191662430067,0.7046263345195729
10,6,126,desire,-0.008998435054773157,0.6388888888888888
10,6,126,disappointment,-0.01951349906442129,0.3023255813953488
10,6,126,disapproval,-0.01605111422783234,0.5072463768115942
10,6,126,disgust,0.0,0.5585585585585585
10,6,126,embarrassment,0.0,0.32
10,6,126,excitement,-0.0056962025316455445,0.45
10,6,126,fear,0.015868673050615678,0.6511627906976745
10,6,126,gratitude,0.0032667291691081957,0.9326145552560647
10,6,126,joy,-0.008032128514056214,0.6666666666666666
10,6,126,love,0.0012195121951219523,0.8083623693379791
10,6,126,optimism,0.007058823529411784,0.56
10,6,126,realization,-0.044720496894409933,0.2857142857142857
