head_a_layer,head_a_head,head_b_layer,head_b_head,correlation
7,10,10,7,0.7911831025138483
4,0,11,11,0.7911536350093669
6,1,8,6,0.7911241138068369
0,3,1,10,0.7908699892170399
0,3,9,11,0.7905740629244055
6,2,8,2,0.7896653252233795
5,4,6,11,0.7896641224226473
2,10,10,10,0.7895468713739494
4,8,8,3,0.7895226140542367
4,4,11,5,0.7887340150127924
0,3,0,6,0.7886255720590901
0,3,7,7,0.7885379384953487
4,10,10,2,0.7883821464240337
5,3,9,6,0.7883707931291454
0,6,7,10,0.7881993661405798
7,1,7,4,0.7881297699283247
3,7,9,6,0.7874664703124868
6,1,10,3,0.787156743896948
8,8,9,8,0.7856598206858625
5,4,8,1,0.785256761532925
4,1,7,7,0.7852423294976661
5,1,7,7,0.7847853719836544
0,4,6,11,0.784670417597951
3,3,3,6,0.7840673499297409
6,2,7,10,0.7838240414504329
4,1,7,1,0.7837805929895288
4,1,6,2,0.7832497489115973
6,1,10,11,0.7831127435233861
4,8,6,1,0.7831040220050896
4,10,8,6,0.782907207411154
2,10,8,4,0.7825949922223763
10,3,11,6,0.7823439134674842
5,3,6,1,0.7823285537159788
7,4,10,7,0.7816726765027744
4,1,4,10,0.7814576346806498
1,7,3,3,0.7813820698696635
2,3,9,11,0.7812829604377264
2,3,7,10,0.7811307451595272
0,6,3,7,0.781113437904227
5,2,6,1,0.781024392312073
6,1,7,9,0.7806214006432421
3,7,7,4,0.7802988613974695
7,4,9,6,0.7799386602168114
2,10,10,1,0.7798357627327035
0,6,8,3,0.7794609583323985
10,2,10,11,0.7791400859096057
4,1,10,2,0.7791311035424363
4,10,5,2,0.7783054094237436
1,10,10,3,0.7777501500028506
0,3,3,0,0.7773907845560122
5,8,7,1,0.7770576550818035
5,3,6,2,0.7765449651415947
10,3,10,5,0.7764217332068892
6,4,9,9,0.7761777113646962
4,8,9,6,0.7761375681000403
6,2,7,4,0.7758512526653878
4,1,9,6,0.7756376517598413
0,6,9,6,0.7755464695226313
6,11,8,3,0.775504143763184
2,10,9,8,0.7751939108234325
2,3,4,4,0.7751574674231263
6,11,7,10,0.7746146351355235
3,7,4,10,0.7745682452993836
0,6,10,7,0.7745566928283328
4,0,10,10,0.7745304655518744
5,2,10,3,0.7745266431702679
4,4,9,1,0.7740091317534372
4,1,6,1,0.7737792919257107
5,1,9,6,0.7729063915248556
9,6,10,7,0.7727160692109278
4,4,7,4,0.7722864861259346
7,7,10,3,0.7719492353179044
0,6,5,8,0.7717766114694056
