layer,head,category,total_importance,selectivity,macro_f1_drop
0,1,Minor Specialists,0.11841574132276006,0.6360780481601187,-0.002356655161711685
0,7,Minor Specialists,0.057976764119170576,0.7592522732825473,0.001762370365377408
0,11,Minor Specialists,0.0806520421941781,0.7406022606856866,-0.0009175359915281067
1,1,Minor Specialists,0.1291965180758664,0.6338695691397707,-0.0019945021398820595
1,3,Minor Specialists,0.08085516718409996,0.6716653862667308,-0.0008558566679697233
1,5,Minor Specialists,0.07410621953172664,0.6784035090079359,-0.00010150887616022786
1,6,Minor Specialists,0.05453493538887644,0.6960431962671527,0.001811253198145124
1,7,Minor Specialists,0.12317298380776037,0.6255629444378512,0.0006196204189832244
1,8,Minor Specialists,0.03308494100531656,0.7852860485380506,-0.00039144455257522637
1,9,Minor Specialists,0.0933989489854794,0.698058989928569,-0.0022607185518653816
2,2,Minor Specialists,0.09686291152901932,0.6423859553229176,6.846542158767122e-05
2,4,Minor Specialists,0.0643603258719771,0.6998057315007646,-0.00014174497777319495
2,11,Minor Specialists,0.09454742719262094,0.6638646532781092,-0.0007264571384320018
3,1,Minor Specialists,0.08739531652079358,0.6498343224310648,-0.002266061728508628
3,2,Minor Specialists,0.09509533551466076,0.7101798923607854,-0.0010113463385289512
3,4,Minor Specialists,0.0811428069869582,0.663471327449159,-0.0012950444791767213
3,6,Minor Specialists,0.11458944842660523,0.6765503602868164,-0.0007510764647522539
3,10,Minor Specialists,0.0965353770904987,0.6553513045295645,0.0003918241814581114
4,1,Minor Specialists,0.11313330791354287,0.7545638762931051,-0.0026617894007899823
4,2,Minor Specialists,0.12511785780615192,0.7533876668821378,-0.0028496269596249846
4,8,Minor Specialists,0.1470687227918976,0.7169471227165205,-0.0028748056766706442
4,11,Minor Specialists,0.060581307272712825,0.7353867723261804,-0.0019309119781957262
5,11,Minor Specialists,0.06845596582670221,0.7067838267846343,0.0002852364976554389
6,4,Minor Specialists,0.15027237389823322,0.6293209216212472,0.001886929499208656
6,10,Minor Specialists,0.10930062185552236,0.6622476976237581,0.001260746634236587
7,2,Minor Specialists,0.06524895044928924,0.7512270743671265,-0.002359948810019774
7,4,Minor Specialists,0.15155530421787994,0.693588560264033,-0.0010243063702324307
7,7,Minor Specialists,0.14547571533346537,0.8292945931098903,-0.0045961278966976105
7,11,Minor Specialists,0.08581097698450096,0.7853579579732497,-0.0015726412919363497
8,0,Minor Specialists,0.12532734191942346,0.627260324173373,-0.0019373622937196577
8,2,Minor Specialists,0.10539121822844111,0.7956493332151702,-0.002087702485641718
8,3,Minor Specialists,0.13094703327606566,0.7023036952785771,-0.0020226790389631377
9,9,Minor Specialists,0.09891281830467374,0.6373136600411828,0.0003738069583807402
9,10,Minor Specialists,0.11440164705595668,0.7311287028429068,-0.0005098918140846731
10,10,Minor Specialists,0.14568890396677725,0.780167377745365,0.004837842665454617
0,0,Dispensable,0.08433769327646351,0.5476964757059113,0.0015334746385218256
0,2,Dispensable,0.13331655364961997,0.47084049648576576,-0.0011793894910631098
0,5,Dispensable,0.1414665512422455,0.5151852250807221,0.0005671673956505474
0,10,Dispensable,0.13550976601902853,0.540995915626431,0.0011947010002165692
1,0,Dispensable,0.09506340380013767,0.5609714348072146,0.0015983467194999879
1,2,Dispensable,0.13719629713675668,0.5937721609494255,-0.0002330798355407726
1,11,Dispensable,0.10669773584265418,0.5825569213695903,-0.0007760259281112125
2,0,Dispensable,0.12128126611069895,0.6097959662908787,0.00035844057602230084
2,5,Dispensable,0.08602025243335948,0.4561439577059756,-0.0015517143553716028
2,6,Dispensable,0.12879678244370596,0.4942658277376337,0.0018567574504125828
2,7,Dispensable,0.09899046719376925,0.5699664207059865,0.0011656634764366514
2,8,Dispensable,0.06861394567672707,0.6097597955432059,-0.0007955603480988005
2,9,Dispensable,0.12653060008914652,0.5955695090062805,0.002397530763036282
3,3,Dispensable,0.14482947415294323,0.5800690833883833,-0.0003474198998949518
3,5,Dispensable,0.11805670548242397,0.5496177312822632,0.0003928104071628802
3,8,Dispensable,0.1306298616877109,0.5710318042951255,0.0013492017616935081
3,9,Dispensable,0.13672045193685167,0.4615663120691158,0.001898827393374547
3,11,Dispensable,0.12633072075880253,0.5525547515212301,-0.001720129106364432
4,3,Dispensable,0.10537938898474708,0.5690886828876469,-0.0013722633898868297
4,6,Dispensable,0.13257645622162811,0.5965055724543218,0.0008777169207691005
4,7,Dispensable,0.1428997814782093,0.518347788566125,0.0018403051316272512
4,9,Dispensable,0.12224694879737863,0.6159307551377402,-0.0010278905742713285
5,0,Dispensable,0.11318244642908881,0.5536502663946783,0.0002081227931369778
5,5,Dispensable,0.1054805113278936,0.6042875691526126,0.00024270333680720402
5,7,Dispensable,0.14370774732330177,0.573696510431257,0.0011095808032588472
5,9,Dispensable,0.12309689676067659,0.5824743788885482,-0.0006001188905255805
6,0,Dispensable,0.09921783334547296,0.40256810667990495,0.00020171018392411977
6,3,Dispensable,0.0872516077694222,0.5798864464344942,7.917253209765995e-05
6,6,Dispensable,0.1021067215329367,0.6090082380542419,-0.00018773374064950943
6,8,Dispensable,0.11797425706658393,0.5423738405443028,0.0019015212655913993
6,9,Dispensable,0.12137697354189803,0.5336099323256664,-0.00039804448840052853
7,6,Dispensable,0.11542139173627042,0.5888038186292457,-0.0015232691304519763
8,5,Dispensable,0.1309126027050907,0.5533596885290082,-0.0005861907844063596
8,7,Dispensable,0.14473233351851222,0.6011725776437136,0.0004923319148225636
8,10,Dispensable,0.131555355219943,0.5798543491535526,-0.0005497877757711933
9,4,Dispensable,0.11906179106888282,0.6058758440770098,0.002326072586709138
10,9,Dispensable,0.1423279103360513,0.5145855065439104,0.0027233390226697463
