emotion,emotion_idx,rank,layer,neuron,selectivity,abs_selectivity,direction
curiosity,7,7,9,189,3.2836187480914143,3.2836187480914143,excitatory
curiosity,7,8,11,1931,3.255020134233563,3.255020134233563,excitatory
curiosity,7,9,8,232,3.2007052050468787,3.2007052050468787,excitatory
curiosity,7,10,8,1744,3.159864711065858,3.159864711065858,excitatory
desire,8,1,11,1394,5.197230519235059,5.197230519235059,excitatory
desire,8,2,11,2010,4.885689227599395,4.885689227599395,excitatory
desire,8,3,11,2998,4.515172553576155,4.515172553576155,excitatory
desire,8,4,11,1215,4.470194084292869,4.470194084292869,excitatory
desire,8,5,11,826,4.40557007652162,4.40557007652162,excitatory
desire,8,6,11,550,4.2235391259773225,4.2235391259773225,excitatory
desire,8,7,10,1589,4.1728134817444,4.1728134817444,excitatory
desire,8,8,11,1885,4.056287180000708,4.056287180000708,excitatory
desire,8,9,11,605,4.032812541073785,4.032812541073785,excitatory
desire,8,10,10,2673,4.027190573307303,4.027190573307303,excitatory
disappointment,9,1,11,1201,1.8940447887241894,1.8940447887241894,excitatory
disappointment,9,2,11,2356,1.860889310743535,1.860889310743535,excitatory
disappointment,9,3,9,667,1.852592813524835,1.852592813524835,excitatory
disappointment,9,4,11,1562,1.8393226670268654,1.8393226670268654,excitatory
disappointment,9,5,9,966,1.7940968866152893,1.7940968866152893,excitatory
disappointment,9,6,10,2881,1.7525118464669855,1.7525118464669855,excitatory
disappointment,9,7,9,446,1.7424191736238726,1.7424191736238726,excitatory
disappointment,9,8,11,1566,1.7407694952240984,1.7407694952240984,excitatory
disappointment,9,9,11,480,1.7404333668125294,1.7404333668125294,excitatory
disappointment,9,10,11,334,1.6670043865136044,1.6670043865136044,excitatory
disapproval,10,1,9,1592,2.372894658297569,2.372894658297569,excitatory
disapproval,10,2,11,133,2.33095915911958,2.33095915911958,excitatory
disapproval,10,3,11,1182,2.3088866000424066,2.3088866000424066,excitatory
disapproval,10,4,9,946,2.292277335595258,2.292277335595258,excitatory
disapproval,10,5,9,2911,2.273101435108278,2.273101435108278,excitatory
disapproval,10,6,10,2152,2.2521090978871716,2.2521090978871716,excitatory
disapproval,10,7,11,1088,2.251172782595265,2.251172782595265,excitatory
disapproval,10,8,11,1811,2.1588507785358666,2.1588507785358666,excitatory
disapproval,10,9,11,600,2.1311320096428763,2.1311320096428763,excitatory
disapproval,10,10,11,2362,2.0763935224065926,2.0763935224065926,excitatory
disgust,11,1,9,192,3.687939659035662,3.687939659035662,excitatory
disgust,11,2,8,2442,3.5482754537210903,3.5482754537210903,excitatory
disgust,11,3,11,1925,3.4966082202782625,3.4966082202782625,excitatory
disgust,11,4,11,1243,3.427326509528391,3.427326509528391,excitatory
disgust,11,5,11,1737,3.4177581158671435,3.4177581158671435,excitatory
disgust,11,6,11,741,3.374147609560891,3.374147609560891,excitatory
disgust,11,7,11,2790,3.354394243254915,3.354394243254915,excitatory
disgust,11,8,11,941,3.3537584734327064,3.3537584734327064,excitatory
disgust,11,9,11,303,3.282735756106951,3.282735756106951,excitatory
disgust,11,10,11,398,3.2181558358905478,3.2181558358905478,excitatory
embarrassment,12,1,10,2972,4.35290291435463,4.35290291435463,excitatory
embarrassment,12,2,11,3004,4.077883327396063,4.077883327396063,excitatory
embarrassment,12,3,10,2928,3.311421975277877,3.311421975277877,excitatory
embarrassment,12,4,11,384,3.2944252367902487,3.2944252367902487,excitatory
embarrassment,12,5,11,942,2.9442538105750473,2.9442538105750473,excitatory
embarrassment,12,6,11,2972,2.9186698732288603,2.9186698732288603,excitatory
embarrassment,12,7,9,981,2.9132831704050477,2.9132831704050477,excitatory
embarrassment,12,8,11,2860,2.872281152863683,2.872281152863683,excitatory
embarrassment,12,9,10,1965,2.827221357060905,2.827221357060905,excitatory
embarrassment,12,10,11,1027,2.718594039390054,2.718594039390054,excitatory
excitement,13,1,10,1710,3.549001155169289,3.549001155169289,excitatory
excitement,13,2,11,2668,3.438361643917583,3.438361643917583,excitatory
excitement,13,3,9,2786,3.407084157982526,3.407084157982526,excitatory
excitement,13,4,10,858,3.2451649046697497,3.2451649046697497,excitatory
excitement,13,5,10,1000,3.2214859492468095,3.2214859492468095,excitatory
excitement,13,6,11,2013,3.1913259148305015,3.1913259148305015,excitatory
excitement,13,7,11,1904,3.074897066418045,3.074897066418045,excitatory
excitement,13,8,11,232,3.070869899657233,3.070869899657233,excitatory
excitement,13,9,11,1142,3.069895462440571,3.069895462440571,excitatory
excitement,13,10,11,614,3.0614512641723364,3.0614512641723364,excitatory
fear,14,1,11,2384,7.714970672714293,7.714970672714293,excitatory
fear,14,2,11,2162,7.624078983640051,7.624078983640051,excitatory
fear,14,3,11,1890,7.1145929790356,7.1145929790356,excitatory
fear,14,4,11,2719,6.975500941514669,6.975500941514669,excitatory
fear,14,5,11,1846,6.9587614437774885,6.9587614437774885,excitatory
fear,14,6,11,2992,6.869053464385504,6.869053464385504,excitatory
fear,14,7,11,2315,6.85270632126531,6.85270632126531,excitatory
fear,14,8,11,1112,6.494726099105333,6.494726099105333,excitatory
fear,14,9,11,1719,6.384850964065107,6.384850964065107,excitatory
fear,14,10,11,3006,6.1516060714954515,6.1516060714954515,excitatory
gratitude,15,1,11,1453,6.876895589755605,6.876895589755605,excitatory
gratitude,15,2,11,1899,6.4058329651854224,6.4058329651854224,excitatory
gratitude,15,3,8,1953,6.0817660275390555,6.0817660275390555,excitatory
gratitude,15,4,11,436,6.020955485993761,6.020955485993761,excitatory
gratitude,15,5,11,987,5.964365511837408,5.964365511837408,excitatory
gratitude,15,6,11,760,5.852130144409559,5.852130144409559,excitatory
gratitude,15,7,10,884,5.838317833005811,5.838317833005811,excitatory
gratitude,15,8,9,197,5.754319952187378,5.754319952187378,excitatory
gratitude,15,9,4,1544,5.750951619826294,5.750951619826294,excitatory
gratitude,15,10,11,2572,5.501963378361242,5.501963378361242,excitatory
joy,16,1,10,1200,3.712590937833313,3.712590937833313,excitatory
joy,16,2,11,890,3.668999274234973,3.668999274234973,excitatory
joy,16,3,9,546,3.6080464392446263,3.6080464392446263,excitatory
joy,16,4,11,2778,3.4813054102376353,3.4813054102376353,excitatory
joy,16,5,11,231,3.4787642737160116,3.4787642737160116,excitatory
joy,16,6,11,58,3.45765597395705,3.45765597395705,excitatory
joy,16,7,11,2279,3.403043574073168,3.403043574073168,excitatory
joy,16,8,11,1071,3.3916660584431884,3.3916660584431884,excitatory
joy,16,9,11,91,3.351903909179359,3.351903909179359,excitatory
joy,16,10,11,2813,3.3021577807979012,3.3021577807979012,excitatory
love,17,1,11,2623,5.411786802324433,5.411786802324433,excitatory
love,17,2,11,2313,5.358429025929777,5.358429025929777,excitatory
love,17,3,10,1367,5.353217083427511,5.353217083427511,excitatory
love,17,4,11,272,5.327341558139487,5.327341558139487,excitatory
love,17,5,11,100,5.32642923479994,5.32642923479994,excitatory
love,17,6,11,813,5.287727029040765,5.287727029040765,excitatory
love,17,7,11,165,5.253077932565097,5.253077932565097,excitatory
love,17,8,11,2327,5.135068659677923,5.135068659677923,excitatory
love,17,9,11,2182,5.1229603331039195,5.1229603331039195,excitatory
love,17,10,8,520,5.079487299930827,5.079487299930827,excitatory
optimism,18,1,10,1582,3.495326806204751,3.495326806204751,excitatory
optimism,18,2,11,2941,3.416883686168441,3.416883686168441,excitatory
optimism,18,3,9,1666,3.2190479034313384,3.2190479034313384,excitatory
optimism,18,4,8,2543,3.212384765191123,3.212384765191123,excitatory
optimism,18,5,11,2584,3.198545306940381,3.198545306940381,excitatory
optimism,18,6,8,1211,3.152914242930201,3.152914242930201,excitatory
optimism,18,7,10,1542,3.1439901573275515,3.1439901573275515,excitatory
optimism,18,8,8,830,3.1331106661924437,3.1331106661924437,excitatory
optimism,18,9,10,1809,3.1189788993389644,3.1189788993389644,excitatory
optimism,18,10,9,2408,3.100954858541125,3.100954858541125,excitatory
realization,19,1,11,47,1.9560291889206376,1.9560291889206376,excitatory
realization,19,2,9,2540,1.8638025024526543,1.8638025024526543,excitatory
realization,19,3,10,876,1.842356119075343,1.842356119075343,excitatory
realization,19,4,9,2162,1.8381627897390074,1.8381627897390074,excitatory
realization,19,5,11,854,1.8288005711204172,1.8288005711204172,excitatory
realization,19,6,9,462,1.8130267881188002,1.8130267881188002,excitatory
realization,19,7,10,318,1.8092448349633599,1.8092448349633599,excitatory
realization,19,8,10,3017,1.8040850337835324,1.8040850337835324,excitatory
realization,19,9,11,407,1.7532165872068408,1.7532165872068408,excitatory
realization,19,10,10,241,1.7154511701727277,1.7154511701727277,excitatory
remorse,20,1,11,1969,7.750363725423818,7.750363725423818,excitatory
remorse,20,2,11,1273,7.641383448596573,7.641383448596573,excitatory
remorse,20,3,10,2736,7.402904607857535,7.402904607857535,excitatory
remorse,20,4,11,158,6.499545452671871,6.499545452671871,excitatory
remorse,20,5,8,1108,6.474989545587668,6.474989545587668,excitatory
remorse,20,6,11,2661,6.469761496630401,6.469761496630401,excitatory
remorse,20,7,8,2089,6.4108860408538915,6.4108860408538915,excitatory
remorse,20,8,10,2695,6.397570312632398,6.397570312632398,excitatory
remorse,20,9,11,2090,6.329044713837234,6.329044713837234,excitatory
remorse,20,10,10,1666,6.177367186334089,6.177367186334089,excitatory
sadness,21,1,11,1276,4.155416846701167,4.155416846701167,excitatory
sadness,21,2,11,1515,4.062155011132081,4.062155011132081,excitatory
sadness,21,3,11,1535,4.044497507917504,4.044497507917504,excitatory
sadness,21,4,11,45,4.006974718023303,4.006974718023303,excitatory
sadness,21,5,11,791,3.902865292947397,3.902865292947397,excitatory
sadness,21,6,10,1555,3.7305291717950126,3.7305291717950126,excitatory
sadness,21,7,10,2426,3.7128652821780594,3.7128652821780594,excitatory
sadness,21,8,11,694,3.5492006977791606,3.5492006977791606,excitatory
sadness,21,9,10,2279,3.5422655591219994,3.5422655591219994,excitatory
sadness,21,10,11,2072,3.502960654500845,3.502960654500845,excitatory
surprise,22,1,11,1295,3.745873865462751,3.745873865462751,excitatory
surprise,22,2,11,1702,3.658750328196461,3.658750328196461,excitatory
surprise,22,3,9,917,3.586164431545603,3.586164431545603,excitatory
surprise,22,4,10,2823,3.5656007961289213,3.5656007961289213,excitatory
surprise,22,5,11,2382,3.448335014518297,3.448335014518297,excitatory
surprise,22,6,10,1323,3.442193223768322,3.442193223768322,excitatory
surprise,22,7,9,2838,3.433558337416934,3.433558337416934,excitatory
surprise,22,8,11,2235,3.4197555961354196,3.4197555961354196,excitatory
surprise,22,9,11,538,3.4105416213808137,3.4105416213808137,excitatory
surprise,22,10,11,2844,3.380305560956276,3.380305560956276,excitatory
