layer,emotion,f1,baseline_f1,retention
9,approval,0.5274725274725275,0.5550239234449761,0.9503599848427434
9,caring,0.441025641025641,0.5423728813559322,0.8131410256410256
9,confusion,0.4424778761061947,0.5128205128205128,0.8628318584070798
9,curiosity,0.683206106870229,0.7065217391304348,0.9669994128009395
9,desire,0.5,0.5354330708661418,0.9338235294117646
9,disappointment,0.12345679012345678,0.2751322751322751,0.44871794871794873
9,disapproval,0.5180180180180181,0.5265306122448979,0.9838326698791816
9,disgust,0.3333333333333333,0.5212765957446809,0.6394557823129251
9,embarrassment,0.0,0.26666666666666666,0.0
9,excitement,0.4,0.4539877300613497,0.8810810810810812
9,fear,0.656934306569343,0.7096774193548387,0.9256801592568015
9,gratitude,0.9255952380952381,0.9273255813953488,0.9981340498581879
9,joy,0.5432098765432098,0.6326530612244898,0.8586220629231381
9,love,0.8172043010752689,0.8155737704918032,1.0
9,optimism,0.5018181818181818,0.573170731707317,0.8755125725338492
9,realization,0.19393939393939394,0.2708333333333333,0.7160839160839161
9,remorse,0.1016949152542373,0.6722689075630253,0.15127118644067797
9,sadness,0.5617021276595745,0.6319702602230484,0.8888110137672091
9,surprise,0.5175438596491229,0.5714285714285714,0.905701754385965
10,admiration,0.754601226993865,0.7565392354124748,0.9974383239785929
10,amusement,0.8620037807183365,0.8528864059590316,1.0
10,anger,0.5352941176470588,0.5501432664756447,0.9730085784313725
10,annoyance,0.3091334894613583,0.4112903225806452,0.7516186802589888
10,approval,0.5152057245080501,0.5550239234449761,0.9282585898464006
10,caring,0.4931506849315068,0.5423728813559322,0.9092465753424657
10,confusion,0.453781512605042,0.5128205128205128,0.884873949579832
10,curiosity,0.6653696498054474,0.7065217391304348,0.9417539658784794
10,desire,0.48695652173913045,0.5354330708661418,0.909462915601023
10,disappointment,0.24083769633507854,0.2751322751322751,0.8753523962948048
10,disapproval,0.45823389021479716,0.5265306122448979,0.8702891713381806
10,disgust,0.47398843930635837,0.5212765957446809,0.9092839447917894
10,embarrassment,0.05263157894736842,0.26666666666666666,0.19736842105263158
10,excitement,0.37593984962406013,0.4539877300613497,0.8280837228205649
10,fear,0.684931506849315,0.7096774193548387,0.9651307596513075
10,gratitude,0.9329446064139941,0.9273255813953488,1.0
10,joy,0.597864768683274,0.6326530612244898,0.9450120537251749
10,love,0.8157349896480331,0.8155737704918032,1.0
10,optimism,0.5789473684210527,0.573170731707317,1.0
10,realization,0.2,0.2708333333333333,0.7384615384615385
10,remorse,0.5833333333333334,0.6722689075630253,0.8677083333333333
10,sadness,0.6137184115523465,0.6319702602230484,0.971119133574007
10,surprise,0.5655737704918032,0.5714285714285714,0.9897540983606558
11,admiration,0.684085510688836,0.7565392354124748,0.9042300500328498
11,amusement,0.7142857142857143,0.8528864059590316,0.8374922021210232
11,anger,0.3657587548638132,0.5501432664756447,0.6648427367055771
11,annoyance,0.09467455621301775,0.4112903225806452,0.23018911706694511
11,approval,0.25853658536585367,0.5550239234449761,0.465811606391926
11,caring,0.2822085889570552,0.5423728813559322,0.5203220858895705
11,confusion,0.24858757062146894,0.5128205128205128,0.4847457627118645
11,curiosity,0.2782608695652174,0.7065217391304348,0.39384615384615385
11,desire,0.0,0.5354330708661418,0.0
11,disappointment,0.0,0.2751322751322751,0.0
11,disapproval,0.19141914191419143,0.5265306122448979,0.3635479827052473
11,disgust,0.0,0.5212765957446809,0.0
11,embarrassment,0.0,0.26666666666666666,0.0
11,excitement,0.0,0.4539877300613497,0.0
11,fear,0.0,0.7096774193548387,0.0
11,gratitude,0.9090909090909091,0.9273255813953488,0.9803362781419208
11,joy,0.31958762886597936,0.6326530612244898,0.5051546391752577
11,love,0.700507614213198,0.8155737704918032,0.8589138586332679
11,optimism,0.29596412556053814,0.573170731707317,0.516362942467322
11,realization,0.0,0.2708333333333333,0.0
11,remorse,0.0,0.6722689075630253,0.0
11,sadness,0.46153846153846156,0.6319702602230484,0.7303167420814479
11,surprise,0.14473684210526316,0.5714285714285714,0.25328947368421056
