layer,emotion,baseline_f1,compressed_f1,patched_f1,restoration_score
10,disappointment,0.2751322751322751,0.0,0.0,0.0
10,disapproval,0.5265306122448979,0.0,0.09219858156028368,0.17510583319588763
10,disgust,0.5212765957446809,0.0,0.0,0.0
10,embarrassment,0.26666666666666666,0.0,0.0,0.0
10,excitement,0.4539877300613497,0.0,0.0,0.0
10,fear,0.7096774193548387,0.0,0.0,0.0
10,gratitude,0.9273255813953488,0.0,0.8978328173374613,0.96819589079651
10,joy,0.6348122866894198,0.0,0.036585365853658534,0.0576317859952793
10,love,0.813141683778234,0.0,0.47468354430379744,0.583764863828155
10,optimism,0.573170731707317,0.0,0.0,0.0
10,realization,0.2708333333333333,0.0,0.0,0.0
10,remorse,0.6722689075630253,0.0,0.0,0.0
10,sadness,0.6319702602230484,0.0,0.17543859649122806,0.2776057791537667
10,surprise,0.5714285714285714,0.0,0.0,0.0
11,admiration,0.7565392354124748,0.0,0.7565392354124748,1.0
11,amusement,0.8528864059590316,0.0,0.8528864059590316,1.0
11,anger,0.5501432664756447,0.0,0.5501432664756447,1.0
11,annoyance,0.4112903225806452,0.0,0.4112903225806452,1.0
11,approval,0.5550239234449761,0.0,0.5550239234449761,1.0
11,caring,0.5423728813559322,0.0,0.5423728813559322,1.0
11,confusion,0.5128205128205128,0.0,0.5128205128205128,1.0
11,curiosity,0.7065217391304348,0.0,0.7065217391304348,1.0
11,desire,0.5354330708661418,0.0,0.5354330708661418,1.0
11,disappointment,0.2751322751322751,0.0,0.2751322751322751,1.0
11,disapproval,0.5265306122448979,0.0,0.5265306122448979,1.0
11,disgust,0.5212765957446809,0.0,0.5212765957446809,1.0
11,embarrassment,0.26666666666666666,0.0,0.26666666666666666,1.0
11,excitement,0.4539877300613497,0.0,0.4539877300613497,1.0
11,fear,0.7096774193548387,0.0,0.7096774193548387,1.0
11,gratitude,0.9273255813953488,0.0,0.9273255813953488,1.0
11,joy,0.6348122866894198,0.0,0.6348122866894198,1.0
11,love,0.813141683778234,0.0,0.813141683778234,1.0
11,optimism,0.573170731707317,0.0,0.573170731707317,1.0
11,realization,0.2708333333333333,0.0,0.2708333333333333,1.0
11,remorse,0.6722689075630253,0.0,0.6722689075630253,1.0
11,sadness,0.6319702602230484,0.0,0.6319702602230484,1.0
11,surprise,0.5714285714285714,0.0,0.5714285714285714,1.0
