rank_index,Query_mean,Query_std,Key_mean,Key_std,Value_mean,Value_std,Attn_Output_mean,Attn_Output_std,FFN_Inter_mean,FFN_Inter_std,FFN_Output_mean,FFN_Output_std
100,0.36081252,0.060507722,0.32462052,0.038660653,0.5469819,0.061145745,0.52823484,0.065823875,0.23629718,0.024380364,0.34326938,0.061188214
101,0.35999918,0.06029486,0.32342657,0.03858746,0.54497254,0.0615085,0.5269091,0.06608935,0.23588622,0.024230996,0.34258208,0.061054263
102,0.35887435,0.060090005,0.32248637,0.03864642,0.54371023,0.06153579,0.5254526,0.06627417,0.23535442,0.024152603,0.34178364,0.06072611
103,0.35780337,0.05983613,0.3210743,0.038159326,0.54164726,0.06194501,0.524394,0.06636229,0.23493351,0.024045385,0.34129536,0.060734265
104,0.35675502,0.059589304,0.32020244,0.038075026,0.5402632,0.062117036,0.5229303,0.06628641,0.23440881,0.02405526,0.3407323,0.060736466
105,0.35556912,0.05936364,0.31927,0.038054273,0.53885156,0.06177767,0.5214945,0.06636509,0.23397733,0.023936864,0.34023753,0.06069275
106,0.3543149,0.059182238,0.318449,0.037977744,0.537354,0.062125523,0.51972276,0.06648284,0.23349702,0.023878044,0.33956134,0.06051435
107,0.35321912,0.058900744,0.31717086,0.037648484,0.5352152,0.062098734,0.5179803,0.0667598,0.23309648,0.023847999,0.33876014,0.060340185
108,0.35201713,0.05855637,0.31631944,0.03758384,0.53401345,0.06231279,0.51665556,0.06692831,0.2327659,0.023802472,0.3381308,0.060394373
109,0.35076514,0.058218688,0.31526762,0.037641943,0.5320015,0.062168833,0.51533884,0.066963576,0.23234813,0.02374478,0.3376317,0.060345087
110,0.3497717,0.05820473,0.31404704,0.037345532,0.53069776,0.062072128,0.5141614,0.06693881,0.23191012,0.023756713,0.33700517,0.060366552
111,0.34880856,0.058050025,0.31301406,0.03707929,0.528954,0.06210272,0.5128042,0.06675087,0.23153736,0.023721509,0.33641788,0.06012255
112,0.34774825,0.057778418,0.31210616,0.03686066,0.5275368,0.06214804,0.5112187,0.06670271,0.23115115,0.023666032,0.33556852,0.05986859
113,0.3467498,0.057521828,0.3114456,0.036951188,0.52595866,0.06257702,0.50984436,0.066538684,0.23055945,0.023626648,0.33499846,0.059919078
114,0.34551573,0.057402145,0.3103832,0.037020396,0.5244227,0.06262589,0.5088317,0.06660198,0.23011608,0.023604495,0.33444712,0.059838295
115,0.34380868,0.05696872,0.30921957,0.037045076,0.5228047,0.06245765,0.5073685,0.066735886,0.22970064,0.023536565,0.33388987,0.059777867
116,0.34279418,0.056787908,0.30854344,0.037153553,0.52108616,0.06252567,0.50630313,0.066697486,0.22908156,0.02345792,0.333379,0.059790466
117,0.34187114,0.056643065,0.30750045,0.03678091,0.5199105,0.06250097,0.5048689,0.06694705,0.22875232,0.023381775,0.3325643,0.059649244
